name,mA,aA,mB,aB,mC,aC
186,NA,NA,7179.96900840336,239.874016806723,NA,NA
187,NA,NA,NA,NA,7177.14894117647,119.790084033613
188,7182.11546218487,-0.163159663865546,7178.47801680672,239.854352941176,7177.35206722689,119.792974789916
189,7178.8868907563,-0.176504201680672,7175.97801680672,239.796033613445,7178.18447058823,119.775193277311
190,7178.7665210084,-0.177579831932773,7175.93626890756,239.794218487395,7178.2017815126,119.774857142857
191,7182.33072268908,-0.161210084033613,7178.72494117647,239.857613445378,7177.49431932773,119.796739495798
192,NA,NA,7175.58494117647,239.780840336134,NA,NA
193,NA,NA,7175.56026890756,239.780537815126,NA,NA
194,7180.59092436975,-0.166420168067227,7176.98729411765,239.825546218487,7178.07213445378,119.785983193277
195,NA,NA,7175.57055462185,239.780672268908,NA,NA
196,NA,NA,7175.55885714286,239.78043697479,NA,NA
197,NA,NA,NA,NA,7180.52242016807,119.871932773109
198,NA,NA,NA,NA,7180.51828571429,119.871798319328
199,7180.83095798319,-0.166252100840336,7177.24658823529,239.830453781513,7177.91247058824,119.787193277311
200,7182.42732773109,-0.16036974789916,7178.83737815126,239.859428571429,7177.56077310924,119.798117647059
201,NA,NA,7175.57512605042,239.780739495798,NA,NA
202,NA,NA,7175.56998319328,239.780504201681,NA,NA
203,NA,NA,NA,NA,7180.52695798319,119.872
204,7182.59492436975,-0.158252100840336,7179.03223529412,239.862285714286,7177.67858823529,119.801613445378
205,NA,NA,NA,NA,7180.55751260504,119.872201680672
206,7188.8072605042,-0.0970756302521009,7185.27122689076,239.931159663866,7182.61862184874,119.898823529412
207,7188.78248739496,-0.0971428571428571,7185.24265546219,239.930823529412,7182.59357983193,119.898756302521
208,7188.83351260504,-0.0970756302521009,7185.30168067227,239.931529411765,7182.6462184874,119.898857142857
209,7180.87805042017,-0.168773109243697,NA,NA,NA,NA
210,7180.86991596639,-0.168974789915966,NA,NA,NA,NA
211,7180.86988235294,-0.169008403361345,NA,NA,NA,NA
212,7178.75855462185,-0.177680672268908,7175.93203361345,239.794117647059,7178.20228571429,119.774823529412
213,NA,NA,7176.26218487395,239.806957983193,NA,NA
214,7189.02705882353,-0.0934117647058824,7185.24591596639,239.944235294118,7182.68820168067,119.899731092437
215,NA,NA,7185.22030252101,239.943731092437,NA,NA
216,7181.89878991597,-0.173882352941176,7178.23374789916,239.858890756303,7175.19973109244,119.771529411765
217,7177.55932773109,-0.19109243697479,NA,NA,NA,NA
218,7181.90823529412,-0.172605042016807,7178.24205042017,239.85781512605,7175.4891092437,119.774487394958
219,7183.07858823529,-0.153310924369748,7179.79996638655,239.871058823529,7178.02342857143,119.815226890756
220,NA,NA,NA,NA,7176.77546218487,119.752605042017
221,NA,NA,NA,NA,7171.17465546219,119.728605042017
222,NA,NA,NA,NA,7171.06921008403,119.72756302521
223,NA,NA,NA,NA,7171.29781512605,119.730890756303
224,NA,NA,NA,NA,7171.42662184874,119.732638655462
225,NA,NA,NA,NA,7176.7636302521,119.752470588235
226,NA,NA,NA,NA,7171.45882352941,119.733109243697
227,7181.75152941176,-0.199025210084034,NA,NA,NA,NA
228,7181.75741176471,-0.198924369747899,NA,NA,NA,NA
229,NA,NA,7175.54121008403,239.780235294118,NA,NA
230,NA,NA,7175.52890756303,239.780067226891,NA,NA
231,NA,NA,7176.60715966387,239.819193277311,NA,NA
232,NA,NA,7176.64453781513,239.819596638655,NA,NA
233,7177.09062184874,-0.199260504201681,NA,NA,NA,NA
234,7177.13109243697,-0.198655462184874,NA,NA,NA,NA
235,NA,NA,7175.44457142857,239.806924369748,NA,NA
236,7178.76537815126,-0.177579831932773,7175.93573109244,239.794218487395,7178.20188235294,119.774823529412
237,NA,NA,7175.71035294118,239.809714285714,NA,NA
238,7177.21737815126,-0.197344537815126,NA,NA,NA,NA
239,7183.18194957983,-0.152436974789916,7179.80440336134,239.871294117647,7178.08141176471,119.815529411765
240,NA,NA,7175.92702521008,239.812235294118,NA,NA
241,7183.25721008403,-0.151697478991597,7179.81287394958,239.871630252101,7178.12605042017,119.815966386555
242,NA,NA,7176.14534453781,239.814487394958,NA,NA
243,7177.31196638655,-0.195899159663866,NA,NA,NA,NA
244,7183.94931092437,-0.143529411764706,7180.45700840336,239.878722689076,7178.59502521008,119.82756302521
245,NA,NA,7176.44097478992,239.816907563025,NA,NA
246,NA,NA,7175.52315966387,239.779966386555,NA,NA
247,7182.93421848739,-0.154689075630252,7179.81892436975,239.870789915966,7177.95247058823,119.814957983193
248,NA,NA,7174.96863865546,239.801142857143,NA,NA
249,NA,NA,7175.67492436975,239.789445378151,NA,NA
250,7181.14006722689,-0.166117647058824,NA,NA,NA,NA
251,NA,NA,7175.7003697479,239.78974789916,NA,NA
252,7178.64588235294,-0.177344537815126,NA,NA,NA,NA
253,7183.25142857143,-0.151764705882353,7179.80410084034,239.87156302521,7178.12144537815,119.815798319328
254,NA,NA,7175.16268907563,239.774924369748,NA,NA
255,NA,NA,7174.82356302521,239.799327731092,NA,NA
256,NA,NA,7174.79035294118,239.799092436975,NA,NA
257,NA,NA,NA,NA,7176.76302521008,119.752470588235
258,7176.71623529412,-0.205882352941176,7174.61885714286,239.770420168067,7176.8698487395,119.754319327731
259,7179.82134453782,-0.170285714285714,7176.41146218487,239.811966386555,7178.17099159664,119.780336134454
260,7176.78860504202,-0.204235294117647,7174.70077310924,239.770890756303,7176.96191596639,119.755764705882
261,7180.05428571429,-0.169042016806723,7176.5668907563,239.81556302521,7178.20470588235,119.782386554622
262,7176.84944537815,-0.202789915966387,7174.77425210084,239.771428571429,7177.04305882353,119.757042016807
263,7176.92016806723,-0.201546218487395,7174.85825210084,239.772168067227,7177.13640336134,119.758521008403
264,NA,NA,7174.81300840336,239.799159663866,NA,NA
265,7176.99058823529,-0.200235294117647,7174.93993277311,239.772840336134,7177.22914285714,119.759932773109
266,7177.05838655462,-0.199159663865546,7175.01939495798,239.773613445378,7177.31647058824,119.761243697479
267,7177.09284033613,-0.19818487394958,7175.06870588235,239.774151260504,7177.37892436975,119.762285714286
268,NA,NA,7174.75801680672,239.798487394958,NA,NA
269,NA,NA,7174.7436302521,239.798285714286,NA,NA
270,7177.54826890756,-0.191260504201681,NA,NA,NA,NA
271,NA,NA,7176.26094117647,239.806957983193,NA,NA
272,7181.8425210084,-0.200571428571429,7177.93552941176,239.868941176471,7171.52887394958,119.734117647059
273,7181.89878991597,-0.173882352941176,7178.23374789916,239.858890756303,7175.19973109244,119.771529411765
274,7181.89878991597,-0.173882352941176,7178.23374789916,239.858890756303,7175.19973109244,119.771529411765
275,7181.93327731092,-0.179529411764706,NA,NA,NA,NA
276,7181.92957983193,-0.179529411764706,NA,NA,NA,NA
277,7181.55663865546,-0.201680672268908,NA,NA,NA,NA
278,NA,NA,NA,NA,7174.34877310924,119.763630252101
279,NA,NA,NA,NA,7174.32574789916,119.763630252101
280,7181.84151260504,-0.200571428571429,7177.93448739496,239.868941176471,7171.52773109244,119.734117647059
281,7181.84013445378,-0.200571428571429,7177.93294117647,239.868941176471,7171.52618487395,119.734117647059
282,7187.05152941176,-0.101680672268908,7183.49700840336,239.901478991597,7181.04373109244,119.882117647059
283,7187.0483697479,-0.101680672268908,7183.49401680672,239.901478991597,7181.04057142857,119.882117647059
284,7181.55522689076,-0.201680672268908,NA,NA,NA,NA
285,7192.60124369748,-0.0632941176470588,7190.05744537815,239.984974789916,7187.98921008403,119.925142857143
286,7192.04504201681,-0.072,7189.30810084034,239.977210084034,7187.08389915966,119.914588235294
287,7195.04672268908,-0.00484033613445378,7193.34245378151,239.999966386555,7191.95616806723,119.98618487395
288,7193.79589915966,-0.0393613445378151,7191.66094117647,239.997882352941,7189.92564705882,119.954957983193
289,7183.13593277311,-0.15236974789916,7179.75882352941,239.871361344538,7178.02900840336,119.815596638655
290,7183.12,-0.15236974789916,7179.74131092437,239.871361344538,7178.00857142857,119.815596638655
291,7183.56295798319,-0.148100840336134,7180.09381512605,239.875092436975,7178.32921008403,119.821176470588
292,7183.18154621849,-0.152436974789916,7179.80393277311,239.871294117647,7178.08033613445,119.815529411765
293,7176.50715966387,-0.207058823529412,7174.39801680672,239.769680672269,7176.61973109244,119.752537815126
294,7176.42551260504,-0.20709243697479,7174.31552941177,239.769680672269,7176.52581512605,119.752571428571
295,7184.63979831933,-0.134218487394958,7181.11505882353,239.887529411765,7179.072,119.838386554622
296,7182.98988235294,-0.154117647058824,7179.79401680672,239.870857142857,7177.97263865546,119.814823529412
297,7181.59952941176,-0.179596638655462,NA,NA,NA,NA
298,7188.98665546218,-0.0935798319327731,7185.2072605042,239.943966386555,7182.63606722689,119.899731092437
299,7188.67566386555,-0.0928403361344538,7184.89583193277,239.94618487395,7182.28305882353,119.899865546218
300,NA,NA,NA,NA,7170.61905882353,119.725983193277
301,NA,NA,NA,NA,7170.58894117647,119.725983193277
302,7192.91317647059,-0.0580168067226891,7190.47559663866,239.989512605042,7188.49394957983,119.932033613445
303,7181.86305882353,-0.193008403361345,NA,NA,NA,NA
304,7181.77109243697,-0.167327731092437,NA,NA,NA,NA
305,NA,NA,NA,NA,7173.42514285714,119.753344537815
306,NA,NA,NA,NA,7173.39321008403,119.753344537815
307,NA,NA,NA,NA,7173.42732773109,119.753344537815
308,NA,NA,NA,NA,7173.40843697479,119.753344537815
309,7181.86094117647,-0.193008403361345,NA,NA,NA,NA
310,NA,NA,NA,NA,7172.73300840336,119.753042016807
311,NA,NA,NA,NA,7172.59788235294,119.752974789916
312,7198.15230252101,0,7197.51838655462,240,7197.00104201681,120
313,7197.02500840336,0,7196.00191596639,240,7195.17048739496,120
314,7176.42598319328,-0.207495798319328,7174.31731092437,239.769579831933,7176.53183193277,119.752235294118
315,7176.41253781513,-0.207596638655462,7174.30467226891,239.769512605042,7176.51280672269,119.752067226891
316,7189.87142857143,-0.0910588235294118,7186.38554621849,239.951294117647,7183.55391596639,119.900067226891
317,7181.91667226891,-0.167361344537815,NA,NA,NA,NA
318,7181.80833613445,-0.167361344537815,NA,NA,NA,NA
319,7176.64164705882,-0.206890756302521,7174.53391596639,239.769680672269,7176.77472268908,119.752605042017
320,NA,NA,NA,NA,7170.88773109244,119.725983193277
321,NA,NA,NA,NA,7170.82201680672,119.725983193277
322,7176.62487394958,-0.207394957983193,7174.51741176471,239.769613445378,7176.75986554622,119.752235294118
323,7176.5116302521,-0.207394957983193,7174.40393277311,239.769613445378,7176.62978151261,119.752235294118
324,NA,NA,NA,NA,7170.85576470588,119.725983193277
325,NA,NA,NA,NA,7170.67331092437,119.725983193277
326,7184.32601680672,-0.138689075630252,7180.81428571429,239.883462184874,7178.86332773109,119.83331092437
327,7184.29566386555,-0.138689075630252,7180.78423529412,239.883462184874,7178.82877310924,119.833344537815
328,NA,NA,NA,NA,7172.2622184874,119.75287394958
329,7184.32699159664,-0.138689075630252,7180.81539495798,239.883462184874,7178.86460504202,119.83331092437
330,NA,NA,NA,NA,7172.1298487395,119.752739495798
331,7190.32773109244,-0.0882689075630252,7186.99791596639,239.956201680672,7184.29260504202,119.900403361345
332,7190.02611764706,-0.0902857142857143,7186.59270588235,239.952941176471,7183.80484033613,119.900067226891
333,NA,NA,NA,NA,7173.19630252101,119.753210084034
334,NA,NA,NA,NA,7172.97361344538,119.753075630252
335,NA,NA,NA,NA,7170.95008403361,119.725983193277
336,7178.61431932773,-0.177109243697479,NA,NA,NA,NA
337,7178.59294117647,-0.177109243697479,NA,NA,NA,NA
338,7181.82978151261,-0.200571428571429,7177.92188235294,239.868941176471,7171.51509243697,119.73418487395
339,7186.80816806723,-0.101243697478992,7183.25331092437,239.901882352941,7180.76231932773,119.882722689076
340,7182.98793277311,-0.154117647058824,7179.79226890756,239.870857142857,7177.97058823529,119.814823529412
341,7184.63949579832,-0.134218487394958,7181.11485714286,239.887529411765,7179.07193277311,119.838386554622
342,NA,NA,NA,NA,7174.24379831933,119.763428571429
343,7190.90494117647,-0.084672268907563,7187.77448739496,239.962756302521,7185.23354621849,119.901983193277
344,NA,NA,NA,NA,7170.95559663866,119.725983193277
345,7189.35922689076,-0.0942521008403361,7185.83240336134,239.940806722689,7183.11230252101,119.899697478992
346,NA,NA,NA,NA,7170.95919327731,119.725983193277
347,7181.60003361345,-0.179596638655462,NA,NA,NA,NA
348,7181.89878991597,-0.173882352941176,7178.23374789916,239.858890756303,7175.19973109244,119.771529411765
349,7181.70645378151,-0.192941176470588,NA,NA,NA,NA
350,7181.70453781513,-0.179563025210084,NA,NA,NA,NA
351,NA,NA,NA,NA,7174.35001680672,119.763630252101
352,7200,0,7200,240,7200,120
353,7199.68349579832,0,7199.57731092437,240,7199.48988235294,120
